,id,Batch size,Memory per executor,Cores per executor,Total executor cores,Nodes,Model,Wall clock,Start log,End log,Note
0,0,64,2G,2,2,1,lenet5,386.985956314s,19:28:01,19:36:05,
1,1,64,2G,2,2,1,lenet5,549.500197736s,19:36:08,19:47:01,
2,2,64,2G,2,2,1,lenet5,617.160276408s,19:47:05,19:59:02,
3,3,64,2G,2,2,1,lenet5,554.191634445s,19:59:05,20:10:11,
4,4,64,2G,2,2,1,lenet5,514.66735543s,20:10:13,20:20:33,
5,5,128,2G,2,2,1,lenet5,314.355832195s,20:20:37,20:26:42,
6,6,128,2G,2,2,1,lenet5,275.50697018s,20:26:45,20:33:13,
7,7,128,2G,2,2,1,lenet5,326.280311963s,20:33:16,20:40:08,
8,8,128,2G,2,2,1,lenet5,348.968744036s,20:40:11,20:46:47,
9,9,128,2G,2,2,1,lenet5,296.129799891s,20:46:50,20:52:28,
10,10,256,2G,2,2,1,lenet5,246.142118019s,20:52:31,20:57:27,
11,11,256,2G,2,2,1,lenet5,379.491792179s,20:57:30,21:05:33,
12,12,256,2G,2,2,1,lenet5,189.107328486s,21:05:37,21:16:35,
13,13,256,2G,2,2,1,lenet5,269.859088136s,21:16:38,21:22:01,
14,14,256,2G,2,2,1,lenet5,269.531257634s,21:22:04,21:27:24,
15,15,64,1G,2,4,2,lenet5,681.100955127s,21:31:28,21:43:59,
16,16,64,1G,2,4,2,lenet5,672.044898845s,21:44:02,21:56:36,
17,17,64,1G,2,4,2,lenet5,662.525866657s,21:56:39,22:08:59,
18,18,64,1G,2,4,2,lenet5,671.628579762s,22:09:03,22:21:33,
19,19,64,1G,2,4,2,lenet5,664.051220773s,22:21:36,22:33:58,
20,20,128,1G,2,4,2,lenet5,425.16338414s,22:34:01,22:42:26,
21,21,128,1G,2,4,2,lenet5,423.486042126s,22:42:29,22:50:59,
22,22,128,1G,2,4,2,lenet5,424.802608326s,22:51:03,22:59:24,
23,23,128,1G,2,4,2,lenet5,418.207994049s,22:59:27,23:07:46,
24,24,128,1G,2,4,2,lenet5,413.945190322s,23:07:49,23:16:00,
25,25,256,1G,2,4,2,lenet5,293.936078677s,23:16:03,23:22:13,
26,26,256,1G,2,4,2,lenet5,298.845790812s,23:22:16,23:28:32,
27,27,256,1G,2,4,2,lenet5,299.237669522s,23:28:35,23:34:52,
28,28,256,1G,2,4,2,lenet5,296.464385158s,23:34:54,23:41:08,
29,29,256,1G,2,4,2,lenet5,293.232848122s,23:41:11,23:47:34,
30,30,64,2G,1,1,1,lenet5,748.493003753s,23:47:37,00:01:32,
31,31,64,2G,1,1,1,lenet5,327.521835684s,00:01:35,00:07:50,
32,32,64,2G,1,1,1,lenet5,325.779316906s,00:07:53,00:14:40,
33,33,64,2G,1,1,1,lenet5,319.521097338s,00:14:43,00:20:55,
34,34,64,2G,1,1,1,lenet5,319.64025108s,00:20:59,00:27:10,
35,35,128,2G,1,1,1,lenet5,212.912056357s,00:27:13,00:31:55,
36,36,128,2G,1,1,1,lenet5,213.83633897s,00:31:59,00:42:53,
37,37,128,2G,1,1,1,lenet5,227.99269379s,00:42:57,00:47:44,
38,38,128,2G,1,1,1,lenet5,301.229321243s,00:47:47,00:53:41,
39,39,128,2G,1,1,1,lenet5,243.397916707s,00:53:44,00:59:07,
40,40,256,2G,1,1,1,lenet5,165.351420692s,00:59:11,01:02:49,
41,41,256,2G,1,1,1,lenet5,334.691182649s,01:02:52,01:09:49,
42,42,256,2G,1,1,1,lenet5,330.350266421s,01:09:52,01:17:02,
43,43,256,2G,1,1,1,lenet5,222.233401273s,01:17:06,01:22:35,
44,44,256,2G,1,1,1,lenet5,177.297944617s,01:22:37,01:27:13,
45,45,64,2G,1,2,2,lenet5,1459.98832472s,01:27:16,01:53:05,
46,46,64,2G,1,2,2,lenet5,1066.754634814s,01:53:08,02:12:20,
47,47,64,2G,1,2,2,lenet5,401.372113856s,02:12:23,02:20:29,
48,48,64,2G,1,2,2,lenet5,517.401662667s,02:20:32,02:29:51,
49,49,64,2G,1,2,2,lenet5,1343.57275769s,02:29:55,02:53:35,
50,50,128,2G,1,2,2,lenet5,649.013146871s,02:53:38,03:05:42,
51,51,128,2G,1,2,2,lenet5,228.210407334s,03:05:46,03:10:20,
52,52,128,2G,1,2,2,lenet5,377.778425011s,03:10:23,03:17:26,
53,53,128,2G,1,2,2,lenet5,222.136966628s,03:17:29,03:22:21,
54,54,128,2G,1,2,2,lenet5,211.285249077s,03:22:24,03:26:44,
55,55,256,2G,1,2,2,lenet5,146.239217987s,03:26:47,03:29:58,
56,56,256,2G,1,2,2,lenet5,139.2200491s,03:30:01,03:33:00,
57,57,256,2G,1,2,2,lenet5,199.71191317s,03:33:02,03:37:08,
58,58,256,2G,1,2,2,lenet5,681.605163268s,03:37:10,03:49:15,
